resource,seed,triplets,precision,recall,f1_score,hallucination_rate,hallucinations
GT-UVL-NotebookLM-All-Prompt1,UVL language,101,1.0,0.41089108910891087,0.5824561403508772,0.0,0
GT-UVL-NotebookLM-All-Prompt1,Language extensions,41,1.0,0.24413145539906103,0.39245283018867927,0.0,0
GT-UVL-NotebookLM-All-Prompt1,Feature tree,34,1.0,0.4380165289256198,0.6091954022988505,0.0,0
GT-UVL-NotebookLM-All-Prompt1,Cross-tree constraints,66,0.9848484848484849,0.2711864406779661,0.42527090574524634,0.015151515151515138,1
GT-UVL-NotebookLM-All-Prompt1,Boolean level,44,1.0,0.6470588235294118,0.7857142857142858,0.0,0
GT-UVL-NotebookLM-All-Prompt1,Arithmetic level,52,1.0,0.4381443298969072,0.6093189964157706,0.0,0
GT-UVL-NotebookLM-All-Prompt1,Type level,38,0.9473684210526315,0.47368421052631576,0.631578947368421,0.052631578947368474,2
GT-UVL-NotebookLM-PaperUVL2021-Prompt1,UVL language,86,0.9767441860465116,0.29207920792079206,0.44968696125578433,0.023255813953488413,2
GT-UVL-NotebookLM-PaperUVL2021-Prompt1,Language extensions,46,0.9782608695652174,0.22065727699530516,0.3600919383672427,0.021739130434782594,1
GT-UVL-NotebookLM-PaperUVL2021-Prompt1,Feature tree,32,1.0,0.4214876033057851,0.5930232558139535,0.0,0
GT-UVL-NotebookLM-PaperUVL2021-Prompt1,Cross-tree constraints,45,1.0,0.2288135593220339,0.37241379310344824,0.0,0
GT-UVL-NotebookLM-PaperUVL2021-Prompt1,Boolean level,1,0.0,0.0,0.0,1.0,1
GT-UVL-NotebookLM-PaperUVL2021-Prompt1,Arithmetic level,1,0.0,0.0,0.0,1.0,1
GT-UVL-NotebookLM-PaperUVL2021-Prompt1,Type level,1,0.0,0.0,0.0,1.0,1
GT-UVL-NotebookLM-PaperUVL2023-Prompt1,UVL language,134,0.9328358208955224,0.4183168316831683,0.5776118994886938,0.06716417910447758,9
GT-UVL-NotebookLM-PaperUVL2023-Prompt1,Language extensions,48,1.0,0.28169014084507044,0.43956043956043955,0.0,0
GT-UVL-NotebookLM-PaperUVL2023-Prompt1,Feature tree,19,0.9473684210526315,0.2809917355371901,0.43342776203966005,0.052631578947368474,1
GT-UVL-NotebookLM-PaperUVL2023-Prompt1,Cross-tree constraints,74,0.9594594594594594,0.3361581920903955,0.497878609310548,0.04054054054054057,3
GT-UVL-NotebookLM-PaperUVL2023-Prompt1,Boolean level,43,1.0,0.5294117647058824,0.6923076923076924,0.0,0
GT-UVL-NotebookLM-PaperUVL2023-Prompt1,Arithmetic level,62,0.967741935483871,0.4175257731958763,0.5833633417356859,0.032258064516129004,2
GT-UVL-NotebookLM-PaperUVL2023-Prompt1,Type level,38,0.9736842105263158,0.41228070175438597,0.5792804796802131,0.02631578947368418,1
GT-UVL-NotebookLM-PaperUVL2025-Prompt1,UVL language,53,1.0,0.24504950495049505,0.39363817097415504,0.0,0
GT-UVL-NotebookLM-PaperUVL2025-Prompt1,Language extensions,35,0.9714285714285714,0.2300469483568075,0.3719995534219046,0.02857142857142858,1
GT-UVL-NotebookLM-PaperUVL2025-Prompt1,Feature tree,23,0.9565217391304348,0.34710743801652894,0.5093715545755237,0.04347826086956519,1
GT-UVL-NotebookLM-PaperUVL2025-Prompt1,Cross-tree constraints,100,0.99,0.423728813559322,0.5934540222994845,0.010000000000000009,1
GT-UVL-NotebookLM-PaperUVL2025-Prompt1,Boolean level,24,0.9583333333333334,0.2647058823529412,0.41482965931863724,0.04166666666666663,1
GT-UVL-NotebookLM-PaperUVL2025-Prompt1,Arithmetic level,33,1.0,0.29381443298969073,0.4541832669322709,0.0,0
GT-UVL-NotebookLM-PaperUVL2025-Prompt1,Type level,20,1.0,0.2982456140350877,0.45945945945945943,0.0,0
GT-UVL-NotebookLM-UVLParserRepo-Prompt1,UVL language,119,0.957983193277311,0.4504950495049505,0.6128127122899253,0.04201680672268904,5
GT-UVL-NotebookLM-UVLParserRepo-Prompt1,Language extensions,45,0.9555555555555556,0.25821596244131456,0.40656695891352934,0.0444444444444444,2
GT-UVL-NotebookLM-UVLParserRepo-Prompt1,Feature tree,31,1.0,0.33884297520661155,0.5061728395061729,0.0,0
GT-UVL-NotebookLM-UVLParserRepo-Prompt1,Cross-tree constraints,84,0.9761904761904762,0.3672316384180791,0.5336938019425252,0.023809523809523836,2
GT-UVL-NotebookLM-UVLParserRepo-Prompt1,Boolean level,39,1.0,0.4411764705882353,0.6122448979591837,0.0,0
GT-UVL-NotebookLM-UVLParserRepo-Prompt1,Arithmetic level,52,0.9615384615384616,0.35051546391752575,0.5137503777576307,0.038461538461538436,2
GT-UVL-NotebookLM-UVLParserRepo-Prompt1,Type level,33,0.9696969696969697,0.40350877192982454,0.5698799845141308,0.030303030303030276,1
GT-UVL-NotebookLM-UVLWeb-Prompt1,UVL language,47,0.9787234042553191,0.2004950495049505,0.33281229065249435,0.021276595744680882,1
GT-UVL-NotebookLM-UVLWeb-Prompt1,Language extensions,32,0.96875,0.1784037558685446,0.30131730400306944,0.03125,1
GT-UVL-NotebookLM-UVLWeb-Prompt1,Feature tree,19,1.0,0.3305785123966942,0.4968944099378882,0.0,0
GT-UVL-NotebookLM-UVLWeb-Prompt1,Cross-tree constraints,65,0.9692307692307692,0.3248587570621469,0.48661718776236695,0.03076923076923077,2
GT-UVL-NotebookLM-UVLWeb-Prompt1,Boolean level,13,1.0,0.22058823529411764,0.36144578313253006,0.0,0
GT-UVL-NotebookLM-UVLWeb-Prompt1,Arithmetic level,42,1.0,0.27319587628865977,0.4291497975708502,0.0,0
GT-UVL-NotebookLM-UVLWeb-Prompt1,Type level,20,0.75,0.18421052631578946,0.2957746478873239,0.25,5
